ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
1552405_at,2.49E-02,1.49E-02,4.34,NLRP5,NLR family pyrin domain containing 5
1552932_at,4.08E-01,3.62E-01,1.03,NLRP6,NLR family pyrin domain containing 6
237461_at,7.67E-05,1.97E-05,1.18E+01,NLRP7,NLR family pyrin domain containing 7
1553526_at,5.37E-01,4.94E-01,7.10E-01,NLRP8,NLR family pyrin domain containing 8
1553527_at,6.34E-01,5.95E-01,5.20E-01,NLRP9,NLR family pyrin domain containing 9
1553695_a_at,4.34E-06,7.34E-07,1.58E+01,NLRX1,NLR family member X1
219680_at,6.63E-02,4.54E-02,3.17,NLRX1,NLR family member X1
205204_at,2.88E-04,9.09E-05,9.99,NMB,neuromedin B
207333_at,4.11E-01,3.64E-01,1.02,NMBR,neuromedin B receptor
218036_x_at,5.95E-07,7.45E-08,1.86E+01,NMD3,NMD3 ribosome export adaptor
222497_x_at,2.25E-05,4.86E-06,1.34E+01,NMD3,NMD3 ribosome export adaptor
231870_s_at,1.61E-04,4.62E-05,1.08E+01,NMD3,NMD3 ribosome export adaptor
201577_at,6.56E-02,4.49E-02,3.18,NME1,NME/NM23 nucleoside diphosphate kinase 1
201268_at,2.28E-01,1.86E-01,1.7,NME1-NME2///NME2,NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 2
204862_s_at,1.30E-10,4.42E-12,3.21E+01,NME3,NME/NM23 nucleoside diphosphate kinase 3
212739_s_at,2.45E-08,1.87E-09,2.35E+01,NME4,NME/NM23 nucleoside diphosphate kinase 4
206197_at,5.55E-09,3.37E-10,2.59E+01,NME5,NME/NM23 family member 5
205851_at,1.54E-02,8.65E-03,4.93,NME6,NME/NM23 nucleoside diphosphate kinase 6
219553_at,8.13E-06,1.51E-06,1.49E+01,NME7,NME/NM23 family member 7
227556_at,7.70E-01,7.43E-01,2.98E-01,NME7,NME/NM23 family member 7
220384_at,3.75E-02,2.38E-02,3.85,NME8,NME/NM23 family member 8
1562619_at,4.67E-01,4.21E-01,8.70E-01,NME9,NME/NM23 family member 9
203964_at,2.04E-05,4.34E-06,1.36E+01,NMI,N-myc and STAT interactor
223692_at,2.58E-08,1.99E-09,2.34E+01,NMNAT1,nicotinamide nucleotide adenylyltransferase 1
1569631_at,3.75E-08,3.05E-09,2.28E+01,NMNAT1,nicotinamide nucleotide adenylyltransferase 1
229852_at,6.27E-05,1.57E-05,1.20E+01,NMNAT1,nicotinamide nucleotide adenylyltransferase 1
1556029_s_at,1.66E-04,4.80E-05,1.07E+01,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
209755_at,9.88E-02,7.16E-02,2.69,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
1552712_a_at,1.49E-01,1.15E-01,2.2,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
1562818_at,3.78E-01,3.31E-01,1.12,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
228090_at,1.19E-04,3.28E-05,1.12E+01,NMNAT3,nicotinamide nucleotide adenylyltransferase 3
243738_at,3.92E-03,1.81E-03,6.63,NMNAT3,nicotinamide nucleotide adenylyltransferase 3
223206_s_at,2.63E-03,1.15E-03,7.13,NMRAL1,NmrA like redox sensor 1
231271_x_at,9.34E-02,6.72E-02,2.76,NMRAL1,NmrA like redox sensor 1
241418_at,3.26E-01,2.79E-01,1.29,NMRAL1P1,NmrA like redox sensor 1 pseudogene 1
219147_s_at,1.98E-03,8.25E-04,7.5,NMRK1,nicotinamide riboside kinase 1
1562761_at,4.70E-02,3.07E-02,3.58,NMRK1,nicotinamide riboside kinase 1
221051_s_at,2.68E-05,5.93E-06,1.32E+01,NMRK2,nicotinamide riboside kinase 2
201159_s_at,1.88E-15,1.04E-17,5.34E+01,NMT1,N-myristoyltransferase 1
201157_s_at,3.42E-05,7.86E-06,1.29E+01,NMT1,N-myristoyltransferase 1
201158_at,9.05E-03,4.71E-03,5.58,NMT1,N-myristoyltransferase 1
205006_s_at,2.53E-04,7.83E-05,1.02E+01,NMT2,N-myristoyltransferase 2
205005_s_at,7.78E-03,3.96E-03,5.77,NMT2,N-myristoyltransferase 2
215743_at,2.42E-02,1.44E-02,4.38,NMT2,N-myristoyltransferase 2
215069_at,2.14E-01,1.73E-01,1.78,NMT2,N-myristoyltransferase 2
206023_at,2.86E-03,1.26E-03,7.03,NMU,neuromedin U
221383_at,5.21E-02,3.45E-02,3.45,NMUR1,neuromedin U receptor 1
224088_at,2.59E-04,8.03E-05,1.01E+01,NMUR2,neuromedin U receptor 2
204239_s_at,2.63E-02,1.58E-02,4.28,NNAT,neuronatin
231559_at,8.62E-08,7.93E-09,2.16E+01,NNMT,nicotinamide N-methyltransferase
202784_s_at,1.43E-02,7.96E-03,5.01,NNT,nicotinamide nucleotide transhydrogenase
244531_at,2.13E-02,1.25E-02,4.53,NNT,nicotinamide nucleotide transhydrogenase
238530_at,6.60E-01,6.24E-01,4.73E-01,NNT,nicotinamide nucleotide transhydrogenase
202783_at,9.26E-01,9.17E-01,8.70E-02,NNT,nicotinamide nucleotide transhydrogenase
1558801_at,8.85E-03,4.59E-03,5.61,NNT-AS1,NNT antisense RNA 1
223157_at,9.09E-03,4.74E-03,5.58,NOA1,nitric oxide associated 1
223018_at,4.56E-04,1.54E-04,9.39,NOB1,NIN1/PSMD8 binding protein 1 homolog
234519_at,5.76E-04,2.01E-04,9.08,NOBOX,NOBOX oogenesis homeobox
202115_s_at,1.24E-07,1.21E-08,2.10E+01,NOC2L,NOC2 like nucleolar associated transcriptional repressor
1559139_at,5.55E-07,6.87E-08,1.87E+01,NOC2L,NOC2 like nucleolar associated transcriptional repressor
218889_at,2.79E-02,1.69E-02,4.21,NOC3L,NOC3 like DNA replication regulator
218860_at,1.11E-04,3.02E-05,1.13E+01,NOC4L,nucleolar complex associated 4 homolog
1554283_at,9.14E-15,6.49E-17,5.01E+01,NOCT,nocturnin
220671_at,8.47E-02,6.01E-02,2.87,NOCT,nocturnin
224190_x_at,3.97E-03,1.83E-03,6.61,NOD1,nucleotide binding oligomerization domain containing 1
221073_s_at,1.03E-02,5.47E-03,5.42,NOD1,nucleotide binding oligomerization domain containing 1
220066_at,1.91E-05,4.04E-06,1.37E+01,NOD2,nucleotide binding oligomerization domain containing 2
220689_at,5.42E-19,6.55E-22,7.22E+01,NODAL,nodal growth differentiation factor
230916_at,4.71E-02,3.08E-02,3.57,NODAL,nodal growth differentiation factor
237896_at,2.74E-01,2.30E-01,1.49,NODAL,nodal growth differentiation factor
231798_at,4.49E-03,2.11E-03,6.46,NOG,noggin
222684_s_at,4.02E-07,4.73E-08,1.92E+01,NOL10,nucleolar protein 10
218591_s_at,6.62E-05,1.67E-05,1.20E+01,NOL10,nucleolar protein 10
221970_s_at,6.14E-01,5.74E-01,5.57E-01,NOL11,nucleolar protein 11
222057_at,4.97E-04,1.70E-04,9.28,NOL12,nucleolar protein 12
219324_at,7.04E-01,6.71E-01,4.00E-01,NOL12,nucleolar protein 12
210276_s_at,5.40E-06,9.46E-07,1.54E+01,NOL12///TRIOBP,nucleolar protein 12///TRIO and F-actin binding protein
59625_at,4.73E-03,2.25E-03,6.39,NOL3,nucleolar protein 3
221567_at,9.36E-02,6.74E-02,2.75,NOL3,nucleolar protein 3
221566_s_at,6.75E-01,6.40E-01,4.48E-01,NOL3,nucleolar protein 3
1558738_at,7.80E-01,7.54E-01,2.83E-01,NOL3,nucleolar protein 3
206045_s_at,1.98E-03,8.24E-04,7.5,NOL4,nucleolar protein 4
238605_at,2.49E-03,1.07E-03,7.2,NOL4,nucleolar protein 4
225224_at,2.65E-06,4.15E-07,1.65E+01,NOL4L,nucleolar protein 4 like
230954_at,6.17E-04,2.18E-04,9,NOL4L,nucleolar protein 4 like
230955_s_at,2.18E-02,1.28E-02,4.5,NOL4L,nucleolar protein 4 like
234031_at,4.30E-02,2.78E-02,3.68,NOL4L,nucleolar protein 4 like
1558679_at,5.09E-02,3.36E-02,3.48,NOL4L,nucleolar protein 4 like
241830_at,7.96E-01,7.72E-01,2.59E-01,NOL4L,nucleolar protein 4 like
222554_s_at,2.36E-06,3.63E-07,1.66E+01,NOL6,nucleolar protein 6
218199_s_at,7.32E-04,2.65E-04,8.77,NOL6,nucleolar protein 6
228076_s_at,2.16E-02,1.26E-02,4.52,NOL6,nucleolar protein 6
232566_at,4.90E-02,3.22E-02,3.53,NOL6,nucleolar protein 6
202882_x_at,6.42E-07,8.12E-08,1.85E+01,NOL7,nucleolar protein 7
213838_at,6.27E-06,1.12E-06,1.52E+01,NOL7,nucleolar protein 7
210097_s_at,3.36E-05,7.70E-06,1.29E+01,NOL7,nucleolar protein 7
202881_x_at,6.78E-01,6.43E-01,4.44E-01,NOL7,nucleolar protein 7
218244_at,2.70E-02,1.64E-02,4.24,NOL8,nucleolar protein 8
1554082_a_at,8.30E-03,4.27E-03,5.69,NOL9,nucleolar protein 9
218754_at,1.49E-01,1.15E-01,2.2,NOL9,nucleolar protein 9
1554084_a_at,2.43E-01,2.00E-01,1.63,NOL9,nucleolar protein 9
211951_at,6.37E-06,1.14E-06,1.52E+01,NOLC1,nucleolar and coiled-body phosphoprotein 1
211949_s_at,3.44E-03,1.55E-03,6.8,NOLC1,nucleolar and coiled-body phosphoprotein 1
205895_s_at,6.82E-02,4.69E-02,3.13,NOLC1,nucleolar and coiled-body phosphoprotein 1
229220_x_at,9.18E-06,1.74E-06,1.47E+01,NOM1,nucleolar protein with MIF4G domain 1
227161_at,1.06E-05,2.05E-06,1.45E+01,NOM1,nucleolar protein with MIF4G domain 1
242922_at,5.96E-04,2.09E-04,9.04,NOMO3,NODAL modulator 3
208698_s_at,3.34E-12,6.24E-14,3.86E+01,NONO,"non-POU domain containing, octamer-binding"
210470_x_at,2.70E-11,7.15E-13,3.48E+01,NONO,"non-POU domain containing, octamer-binding"
200057_s_at,8.70E-04,3.23E-04,8.55,NONO,"non-POU domain containing, octamer-binding"
217962_at,2.43E-01,2.00E-01,1.63,NOP10,NOP10 ribonucleoprotein
214661_s_at,2.49E-07,2.73E-08,1.99E+01,NOP14,NOP14 nucleolar protein
214123_s_at,1.48E-09,7.38E-11,2.80E+01,NOP14-AS1,NOP14 antisense RNA 1
214685_at,1.44E-03,5.75E-04,7.9,NOP14-AS1,NOP14 antisense RNA 1
215141_at,2.02E-01,1.62E-01,1.85,NOP14-AS1,NOP14 antisense RNA 1
203023_at,1.21E-09,5.86E-11,2.83E+01,NOP16,NOP16 nucleolar protein
214011_s_at,2.83E-07,3.16E-08,1.97E+01,NOP16,NOP16 nucleolar protein
209327_s_at,1.36E-04,3.83E-05,1.10E+01,NOP16,NOP16 nucleolar protein
213833_x_at,2.44E-04,7.51E-05,1.02E+01,NOP16,NOP16 nucleolar protein
214427_at,2.35E-05,5.09E-06,1.34E+01,NOP2,NOP2 nucleolar protein
223096_at,6.75E-16,3.05E-18,5.56E+01,NOP58,NOP58 ribonucleoprotein
1555390_at,1.24E-02,6.74E-03,5.19,NOP9,NOP9 nucleolar protein
225514_at,7.48E-02,5.22E-02,3.02,NOP9,NOP9 nucleolar protein
1558028_x_at,1.18E-09,5.68E-11,2.84E+01,NORAD,non-coding RNA activated by DNA damage
224597_at,2.13E-08,1.60E-09,2.37E+01,NORAD,non-coding RNA activated by DNA damage
207309_at,1.87E-06,2.79E-07,1.70E+01,NOS1,nitric oxide synthase 1
1560974_s_at,1.98E-05,4.19E-06,1.36E+01,NOS1,nitric oxide synthase 1
240911_at,3.57E-04,1.16E-04,9.71,NOS1,nitric oxide synthase 1
231916_at,1.39E-02,7.67E-03,5.05,NOS1,nitric oxide synthase 1
239132_at,2.64E-02,1.59E-02,4.27,NOS1,nitric oxide synthase 1
207310_s_at,2.67E-02,1.62E-02,4.26,NOS1,nitric oxide synthase 1
215153_at,6.76E-03,3.37E-03,5.94,NOS1AP,nitric oxide synthase 1 adaptor protein
1563512_at,7.82E-01,7.56E-01,2.80E-01,NOS1AP,nitric oxide synthase 1 adaptor protein
210037_s_at,8.28E-03,4.25E-03,5.69,NOS2,nitric oxide synthase 2
205581_s_at,1.86E-02,1.07E-02,4.7,NOS3,nitric oxide synthase 3
229093_at,1.14E-01,8.44E-02,2.52,NOS3,nitric oxide synthase 3
217950_at,2.07E-01,1.67E-01,1.82,NOSIP,nitric oxide synthase interacting protein
226992_at,1.93E-01,1.54E-01,1.9,NOSTRIN,nitric oxide synthase trafficking
218902_at,1.13E-05,2.20E-06,1.44E+01,NOTCH1,notch 1
223508_at,1.24E-03,4.83E-04,8.09,NOTCH1,notch 1
210756_s_at,9.42E-12,2.10E-13,3.67E+01,NOTCH2,notch 2
202443_x_at,7.98E-05,2.07E-05,1.17E+01,NOTCH2,notch 2
212377_s_at,1.73E-03,7.09E-04,7.67,NOTCH2,notch 2
202445_s_at,2.17E-02,1.27E-02,4.51,NOTCH2,notch 2
214722_at,2.60E-03,1.13E-03,7.15,NOTCH2NL,notch 2 N-terminal like
203238_s_at,1.29E-04,3.61E-05,1.11E+01,NOTCH3,notch 3
203237_s_at,4.99E-01,4.54E-01,7.94E-01,NOTCH3,notch 3
240786_at,1.90E-03,7.90E-04,7.54,NOTCH4,notch 4
205247_at,1.05E-01,7.65E-02,2.62,NOTCH4,notch 4
228649_at,1.91E-02,1.10E-02,4.66,NOTUM,"NOTUM, palmitoleoyl-protein carboxylesterase"
204501_at,7.97E-05,2.07E-05,1.17E+01,NOV,nephroblastoma overexpressed
214321_at,1.20E-03,4.67E-04,8.13,NOV,nephroblastoma overexpressed
207437_at,8.03E-13,1.18E-14,4.13E+01,NOVA1,NOVA alternative splicing regulator 1
205794_s_at,1.89E-11,4.71E-13,3.55E+01,NOVA1,NOVA alternative splicing regulator 1
231614_at,5.26E-06,9.18E-07,1.55E+01,NOVA1,NOVA alternative splicing regulator 1
206477_s_at,5.20E-02,3.44E-02,3.46,NOVA2,NOVA alternative splicing regulator 2
206476_s_at,1.28E-01,9.61E-02,2.38,NOVA2,NOVA alternative splicing regulator 2
238904_at,1.72E-01,1.35E-01,2.04,NOVA2,NOVA alternative splicing regulator 2
235560_at,5.81E-01,5.40E-01,6.18E-01,NOVA2,NOVA alternative splicing regulator 2
206418_at,3.58E-09,2.04E-10,2.66E+01,NOX1,NADPH oxidase 1
207217_s_at,1.15E-03,4.44E-04,8.19,NOX1,NADPH oxidase 1
207380_x_at,9.03E-03,4.70E-03,5.58,NOX1,NADPH oxidase 1
210808_s_at,9.83E-03,5.18E-03,5.48,NOX1,NADPH oxidase 1
221089_at,2.70E-01,2.26E-01,1.5,NOX3,NADPH oxidase 3
236843_at,1.11E-06,1.53E-07,1.77E+01,NOX4,NADPH oxidase 4
219773_at,4.36E-06,7.38E-07,1.57E+01,NOX4,NADPH oxidase 4
220641_at,5.80E-03,2.83E-03,6.14,NOX5,"NADPH oxidase, EF-hand calcium binding domain 5"
1553023_a_at,8.48E-01,8.30E-01,1.86E-01,NOX5,"NADPH oxidase, EF-hand calcium binding domain 5"
232373_at,2.66E-03,1.16E-03,7.12,NOXA1,NADPH oxidase activator 1
235329_at,8.94E-02,6.40E-02,2.81,NOXO1,NADPH oxidase organizer 1
231566_at,1.27E-01,9.58E-02,2.39,NOXRED1,NADP dependent oxidoreductase domain containing 1
221300_at,5.47E-01,5.04E-01,6.89E-01,NPAP1,nuclear pore associated protein 1
206699_x_at,2.72E-01,2.28E-01,1.49,NPAS1,neuronal PAS domain protein 1
216975_x_at,8.42E-01,8.23E-01,1.95E-01,NPAS1,neuronal PAS domain protein 1
213462_at,7.44E-09,4.73E-10,2.54E+01,NPAS2,neuronal PAS domain protein 2
39549_at,9.81E-08,9.21E-09,2.14E+01,NPAS2,neuronal PAS domain protein 2
39548_at,1.89E-07,1.98E-08,2.04E+01,NPAS2,neuronal PAS domain protein 2
205459_s_at,3.85E-06,6.38E-07,1.59E+01,NPAS2,neuronal PAS domain protein 2
205460_at,1.84E-03,7.57E-04,7.59,NPAS2,neuronal PAS domain protein 2
229281_at,2.00E-13,2.39E-15,4.39E+01,NPAS3,neuronal PAS domain protein 3
220316_at,1.52E-11,3.63E-13,3.59E+01,NPAS3,neuronal PAS domain protein 3
230412_at,1.54E-10,5.35E-12,3.18E+01,NPAS3,neuronal PAS domain protein 3
233293_at,7.94E-05,2.06E-05,1.17E+01,NPAS3,neuronal PAS domain protein 3
222172_at,4.19E-04,1.40E-04,9.5,NPAS3,neuronal PAS domain protein 3
1569661_at,7.65E-03,3.89E-03,5.79,NPAS3,neuronal PAS domain protein 3
234014_at,1.03E-01,7.48E-02,2.65,NPAS3,neuronal PAS domain protein 3
233865_at,1.14E-01,8.47E-02,2.51,NPAS3,neuronal PAS domain protein 3
1554635_a_at,4.50E-01,4.04E-01,9.12E-01,NPAS3,neuronal PAS domain protein 3
240794_at,1.77E-04,5.19E-05,1.06E+01,NPAS4,neuronal PAS domain protein 4
1554299_at,1.23E-01,9.21E-02,2.43,NPAS4,neuronal PAS domain protein 4
211584_s_at,1.32E-03,5.19E-04,8.01,NPAT,"nuclear protein, coactivator of histone transcription"
211585_at,8.03E-03,4.11E-03,5.73,NPAT,"nuclear protein, coactivator of histone transcription"
209798_at,2.48E-02,1.48E-02,4.35,NPAT,"nuclear protein, coactivator of histone transcription"
1553663_a_at,3.97E-01,3.50E-01,1.06,NPB,neuropeptide B
231752_at,1.03E-03,3.89E-04,8.34,NPBWR1,neuropeptides B/W receptor 1
221358_at,2.04E-03,8.53E-04,7.46,NPBWR2,neuropeptides B/W receptor 2
202679_at,8.64E-07,1.14E-07,1.81E+01,NPC1,NPC intracellular cholesterol transporter 1
217584_at,1.96E-03,8.18E-04,7.51,NPC1,NPC intracellular cholesterol transporter 1
238568_s_at,9.80E-02,7.10E-02,2.7,NPC1,NPC intracellular cholesterol transporter 1
238873_at,1.57E-01,1.22E-01,2.14,NPC1,NPC intracellular cholesterol transporter 1
220106_at,1.57E-07,1.60E-08,2.06E+01,NPC1L1,NPC1 like intracellular cholesterol transporter 1
224306_at,8.72E-06,1.64E-06,1.48E+01,NPC1L1,NPC1 like intracellular cholesterol transporter 1
224305_s_at,1.27E-01,9.57E-02,2.39,NPC1L1,NPC1 like intracellular cholesterol transporter 1
200701_at,1.16E-03,4.49E-04,8.18,NPC2,NPC intracellular cholesterol transporter 2
224140_at,6.98E-02,4.81E-02,3.1,NPCDR1,"nasopharyngeal carcinoma, down-regulated 1"
218086_at,7.65E-01,7.37E-01,3.05E-01,NPDC1,"neural proliferation, differentiation and control 1"
89476_r_at,1.09E-01,7.98E-02,2.58,NPEPL1,aminopeptidase-like 1
235033_at,6.63E-01,6.27E-01,4.69E-01,NPEPL1,aminopeptidase-like 1
201454_s_at,3.85E-03,1.77E-03,6.65,NPEPPS,aminopeptidase puromycin sensitive
214101_s_at,1.07E-02,5.72E-03,5.37,NPEPPS,aminopeptidase puromycin sensitive
201455_s_at,3.65E-02,2.30E-02,3.88,NPEPPS,aminopeptidase puromycin sensitive
206402_s_at,3.98E-04,1.31E-04,9.57,NPFF,neuropeptide FF-amide peptide precursor
214184_at,4.18E-04,1.39E-04,9.5,NPFF,neuropeptide FF-amide peptide precursor
221387_at,1.35E-04,3.80E-05,1.10E+01,NPFFR1,neuropeptide FF receptor 1
224169_at,6.78E-01,6.43E-01,4.43E-01,NPFFR2,neuropeptide FF receptor 2
238843_at,1.38E-04,3.88E-05,1.10E+01,NPHP1,nephrocystin 1
206285_at,2.53E-04,7.81E-05,1.02E+01,NPHP1,nephrocystin 1
238844_s_at,6.46E-03,3.20E-03,6,NPHP1,nephrocystin 1
235410_at,1.45E-08,1.03E-09,2.43E+01,NPHP3,nephronophthisis 3 (adolescent)
1553389_at,1.78E-04,5.20E-05,1.06E+01,NPHP3,nephronophthisis 3 (adolescent)
235432_at,4.87E-04,1.66E-04,9.3,NPHP3,nephronophthisis 3 (adolescent)
225573_at,5.11E-04,1.75E-04,9.24,NPHP3-ACAD11///ACAD11///NPHP3,NPHP3-ACAD11 readthrough (NMD candidate)///acyl-CoA dehydrogenase family member 11///nephronophthisis 3 (adolescent)
1569882_at,3.01E-02,1.85E-02,4.11,NPHP3-AS1,NPHP3 antisense RNA 1
1556887_at,2.14E-01,1.73E-01,1.78,NPHP3-AS1,NPHP3 antisense RNA 1
213471_at,2.07E-04,6.19E-05,1.04E+01,NPHP4,nephronophthisis 4
216344_at,1.71E-02,9.70E-03,4.8,NPHP4,nephronophthisis 4
207673_at,5.10E-02,3.37E-02,3.48,NPHS1,"NPHS1, nephrin"
220424_at,2.81E-02,1.71E-02,4.2,NPHS2,"NPHS2, podocin"
204538_x_at,3.26E-01,2.79E-01,1.29,NPIPA1,nuclear pore complex interacting protein family member A1
215123_at,1.59E-05,3.27E-06,1.39E+01,NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3
215002_at,5.78E-01,5.37E-01,6.25E-01,NPIPA5///NPIPB5///NPIPB11///NPIPB8///LOC613037///NPIPB4///NPIPB3,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein family member B11///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3
215920_s_at,3.63E-02,2.28E-02,3.89,NPIPA5///NPIPB6///NPIPB15///PDXDC2P///NPIPB3///NPIPA1,"nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B15///pyridoxal dependent decarboxylase domain containing 2, pseudogene///nuclear pore complex interacting protein family member B3///nuclear pore complex interacting protein family member A1"
215921_at,2.04E-02,1.19E-02,4.59,NPIPA5///NPIPB6///NPIPB8///NPIPB3,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member B3
221992_at,8.61E-01,8.45E-01,1.69E-01,NPIPB15,nuclear pore complex interacting protein family member B15
221210_s_at,4.42E-06,7.49E-07,1.57E+01,NPL,N-acetylneuraminate pyruvate lyase
240440_at,2.97E-05,6.67E-06,1.31E+01,NPL,N-acetylneuraminate pyruvate lyase
223405_at,8.63E-04,3.20E-04,8.56,NPL,N-acetylneuraminate pyruvate lyase
243066_at,2.69E-02,1.63E-02,4.25,NPL,N-acetylneuraminate pyruvate lyase
217796_s_at,8.65E-02,6.16E-02,2.85,NPLOC4,"NPL4 homolog, ubiquitin recognition factor"
200063_s_at,1.74E-02,9.88E-03,4.78,NPM1,nucleophosmin
221923_s_at,5.80E-02,3.90E-02,3.33,NPM1,nucleophosmin
221691_x_at,4.04E-01,3.57E-01,1.04,NPM1,nucleophosmin
230977_at,7.14E-03,3.59E-03,5.88,NPM2,nucleophosmin/nucleoplasmin 2
205129_at,3.95E-04,1.30E-04,9.58,NPM3,nucleophosmin/nucleoplasmin 3
244747_at,7.82E-05,2.02E-05,1.17E+01,NPNT,nephronectin
225911_at,1.31E-01,9.86E-02,2.36,NPNT,nephronectin
209957_s_at,6.48E-06,1.17E-06,1.52E+01,NPPA,natriuretic peptide A
206801_at,1.22E-01,9.13E-02,2.44,NPPB,natriuretic peptide B
221348_at,1.87E-01,1.48E-01,1.94,NPPC,natriuretic peptide C
204648_at,4.71E-04,1.60E-04,9.35,NPR1,natriuretic peptide receptor 1
32625_at,1.55E-02,8.66E-03,4.92,NPR1,natriuretic peptide receptor 1
214066_x_at,2.17E-10,8.05E-12,3.12E+01,NPR2,natriuretic peptide receptor 2
204310_s_at,2.85E-09,1.56E-10,2.69E+01,NPR2,natriuretic peptide receptor 2
219789_at,3.10E-05,7.02E-06,1.30E+01,NPR3,natriuretic peptide receptor 3
219790_s_at,1.21E-04,3.35E-05,1.12E+01,NPR3,natriuretic peptide receptor 3
219054_at,1.61E-04,4.64E-05,1.08E+01,NPR3,natriuretic peptide receptor 3
210373_at,1.79E-03,7.36E-04,7.62,NPRL2,"NPR2-like, GATOR1 complex subunit"
203246_s_at,1.47E-02,8.19E-03,4.98,NPRL2,"NPR2-like, GATOR1 complex subunit"
203289_s_at,3.81E-02,2.41E-02,3.83,NPRL3,"NPR3 like, GATOR1 complex subunit"
214273_x_at,1.22E-01,9.09E-02,2.44,NPRL3,"NPR3 like, GATOR1 complex subunit"
210672_s_at,3.36E-01,2.89E-01,1.25,NPRL3,"NPR3 like, GATOR1 complex subunit"
229122_x_at,8.75E-01,8.60E-01,1.51E-01,NPRL3,"NPR3 like, GATOR1 complex subunit"
1555502_at,1.36E-03,5.40E-04,7.97,NPSA,novel prostate-specific antigen
234117_at,6.84E-03,3.42E-03,5.93,NPSR1-AS1,NPSR1 antisense RNA 1
1561490_at,1.24E-01,9.28E-02,2.42,NPSR1-AS1,NPSR1 antisense RNA 1
202228_s_at,8.66E-12,1.91E-13,3.69E+01,NPTN,neuroplastin
228723_at,1.21E-01,9.05E-02,2.45,NPTN-IT1,NPTN intronic transcript 1
204684_at,1.51E-03,6.05E-04,7.84,NPTX1,neuronal pentraxin 1
213479_at,4.71E-01,4.25E-01,8.61E-01,NPTX2,neuronal pentraxin 2
213040_s_at,7.41E-05,1.90E-05,1.18E+01,NPTXR,neuronal pentraxin receptor
217041_at,9.88E-02,7.17E-02,2.69,NPTXR,neuronal pentraxin receptor
221322_at,5.31E-01,4.87E-01,7.22E-01,NPVF,neuropeptide VF precursor
243110_x_at,4.06E-01,3.59E-01,1.03,NPW,neuropeptide W
206001_at,2.13E-05,4.57E-06,1.35E+01,NPY,neuropeptide Y
205440_s_at,1.17E-08,8.02E-10,2.47E+01,NPY1R,neuropeptide Y receptor Y1
210729_at,6.91E-05,1.75E-05,1.19E+01,NPY2R,neuropeptide Y receptor Y2
208379_x_at,3.71E-02,2.34E-02,3.86,NPY2R,neuropeptide Y receptor Y2
210730_s_at,8.20E-01,7.99E-01,2.25E-01,NPY2R,neuropeptide Y receptor Y2
207400_at,9.99E-06,1.92E-06,1.46E+01,NPY5R,neuropeptide Y receptor Y5
236860_at,2.62E-05,5.78E-06,1.32E+01,NPY6R,neuropeptide Y receptor Y6 (pseudogene)
210444_at,4.74E-02,3.10E-02,3.57,NPY6R,neuropeptide Y receptor Y6 (pseudogene)
210519_s_at,8.29E-11,2.61E-12,3.29E+01,NQO1,NAD(P)H quinone dehydrogenase 1
201468_s_at,1.18E-10,3.92E-12,3.23E+01,NQO1,NAD(P)H quinone dehydrogenase 1
201467_s_at,7.48E-08,6.74E-09,2.18E+01,NQO1,NAD(P)H quinone dehydrogenase 1
203814_s_at,1.28E-02,7.01E-03,5.15,NQO2,NAD(P)H quinone dehydrogenase 2
237870_at,7.64E-01,7.36E-01,3.07E-01,NQO2,NAD(P)H quinone dehydrogenase 2
206645_s_at,6.20E-02,4.21E-02,3.24,NR0B1,nuclear receptor subfamily 0 group B member 1
206644_at,6.79E-01,6.44E-01,4.41E-01,NR0B1,nuclear receptor subfamily 0 group B member 1
206410_at,5.49E-04,1.90E-04,9.15,NR0B2,nuclear receptor subfamily 0 group B member 2
204760_s_at,1.38E-04,3.89E-05,1.10E+01,NR1D1///THRA,"nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha"
31637_s_at,2.66E-02,1.61E-02,4.26,NR1D1///THRA,"nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha"
217476_at,6.64E-02,4.55E-02,3.16,NR1D1///THRA,"nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha"
209750_at,3.31E-11,9.11E-13,3.45E+01,NR1D2,nuclear receptor subfamily 1 group D member 2
